name,lat,lon
Eastern ,22.270314,114.227107
Wan Chai,22.266406,114.189433
Central and Western,22.274164,114.152342
Islands,22.260175,113.944813
Southern ,22.23293,114.206983
Sham Shui Po,22.328966,114.156935
Kowloon City ,22.314545,114.197767
Yau Tsim Mong,22.303469,114.172222
Wong Tai Sin ,22.341657,114.20974
Sai Kung,22.31421306,114.264645
Kwun Tong,22.309542,114.230773
Sha Tin,22.386019,114.207032
Tai Po ,22.458868,114.205562
North,22.510784,114.182122
Yuen Long ,22.445964,114.047174
Tuen Mun,22.388499,113.979886
Tsuen Wan,22.365421,114.086798
Kwai Tsing ,22.34175,114.118692
